Principio Attivo,Descrizione Gruppo,Denominazione e Confezione,Titolare AIC,AIC,Codice Gruppo Equivalenza,codiceSis,URL
Valaciclovir,VALACICLOVIR 500MG 42 UNITA' USO ORALE,TALAVIR*42 cpr riv 500 mg,ALFASIGMA SpA,029498019,ETB,4375,https://api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/4375/farmaci/29498/stampati?ts=RCP
Valaciclovir,VALACICLOVIR 500MG 42 UNITA' USO ORALE,ZELITREX*42 cpr riv 500 mg,GLAXOSMITHKLINE SpA,029503012,ETB,200,https://api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/200/farmaci/29503/stampati?ts=RCP
Valaciclovir,VALACICLOVIR 500MG 42 UNITA' USO ORALE,VALACICLOVIR*42 cpr riv 500 mg,MYLAN SpA,039107139,ETB,2322,https://api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/2322/farmaci/39107/stampati?ts=RCP
Valaciclovir,VALACICLOVIR 500MG 42 UNITA' USO ORALE,VALACICLOVIR*42 cpr riv 500 mg,SANDOZ SpA,039149075,ETB,1392,https://api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/1392/farmaci/39149/stampati?ts=RCP
Valaciclovir,VALACICLOVIR 500MG 42 UNITA' USO ORALE,VALACICLOVIR*42 cpr riv 500 mg,AUROBINDO PHARMA ITALIA Srl,040942056,ETB,3199,https://api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/3199/farmaci/40942/stampati?ts=RCP
Valganciclovir,VALGANCICLOVIR 450MG 60 UNITA' USO ORALE,VALCYTE*60 cpr riv 450 mg flacone,CHEPLAPHARM ARZNEIMITTEL GMBH,035739010,T7A,3827,https://api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/3827/farmaci/35739/stampati?ts=RCP
Valganciclovir,VALGANCICLOVIR 450MG 60 UNITA' USO ORALE,VALGANCICLOVIR*60 cpr riv 450 mg flacone,TEVA ITALIA Srl,042545032,T7A,813,https://api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/813/farmaci/42545/stampati?ts=RCP
Valganciclovir,VALGANCICLOVIR 450MG 60 UNITA' USO ORALE,VALGANCICLOVIR*60 cpr riv 450 mg flacone,MYLAN SpA,043146012,T7A,2322,https://api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/2322/farmaci/43146/stampati?ts=RCP
Valganciclovir,VALGANCICLOVIR 450MG 60 UNITA' USO ORALE,VALGANCICLOVIR*60 cpr riv 450 mg,SANDOZ SpA,043694037,T7A,1392,https://api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/1392/farmaci/43694/stampati?ts=RCP
Valganciclovir,VALGANCICLOVIR 450MG 60 UNITA' USO ORALE,VALGANCICLOVIR*60 cpr riv 450 mg,ACCORD HEALTHCARE SLU,044086015,T7A,4852,https://api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/4852/farmaci/44086/stampati?ts=RCP
Valganciclovir,VALGANCICLOVIR 450MG 60 UNITA' USO ORALE,VALGANCICLOVIR*60 cpr riv 450 mg flacone,AUROBINDO PHARMA ITALIA Srl,045932050,T7A,3199,https://api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/3199/farmaci/45932/stampati?ts=RCP
Valganciclovir,VALGANCICLOVIR 5.500MG 1 UNITA' USO ORALE,"VALCYTE*orale polv 5,5 g 50 mg/ml in soluz ricostituita",CHEPLAPHARM ARZNEIMITTEL GMBH,035739022,T7B,3827,https://api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/3827/farmaci/35739/stampati?ts=RCP
Valpromide,VALPROMIDE 300MG 30 UNITA' USO ORALE,DEPAMIDE*30 cpr gastrores 300 mg,SANOFI Srl,023105036,T8A,8055,https://api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/8055/farmaci/23105/stampati?ts=RCP
Valsartan,VALSARTAN 40MG 14 UNITA' USO ORALE,VALPRESSION*14 cpr riv 40 mg,A.MENARINI IND.FARM.RIUN.Srl,033119138,FPA,542,https://api.aifa.gov.it/aifa-bdf-eif-be/1.0.0/organizzazione/542/farmaci/33119/stampati?ts=RCP
