Principio Attivo,Descrizione Gruppo,Denominazione e Confezione,Titolare AIC,AIC,Codice Gruppo Equivalenza
Valganciclovir,VALGANCICLOVIR 450MG 60 UNITA' USO ORALE,VALGANCICLOVIR*60 cpr riv 450 mg,SANDOZ SpA,043694037,T7A
Valganciclovir,VALGANCICLOVIR 450MG 60 UNITA' USO ORALE,VALGANCICLOVIR*60 cpr riv 450 mg,ACCORD HEALTHCARE SLU,044086015,T7A
Valganciclovir,VALGANCICLOVIR 450MG 60 UNITA' USO ORALE,VALGANCICLOVIR*60 cpr riv 450 mg flacone,AUROBINDO PHARMA ITALIA Srl,045932050,T7A
Valganciclovir,VALGANCICLOVIR 5.500MG 1 UNITA' USO ORALE,"VALCYTE*orale polv 5,5 g 50 mg/ml in soluz ricostituita",CHEPLAPHARM ARZNEIMITTEL GMBH,035739022,T7B
Valpromide,VALPROMIDE 300MG 30 UNITA' USO ORALE,DEPAMIDE*30 cpr gastrores 300 mg,SANOFI Srl,023105036,T8A
Valsartan,VALSARTAN 40MG 14 UNITA' USO ORALE,VALPRESSION*14 cpr riv 40 mg,A.MENARINI IND.FARM.RIUN.Srl,033119138,FPA
Valsartan,VALSARTAN 40MG 14 UNITA' USO ORALE,TAREG*14 cpr riv 40 mg,NOVARTIS FARMA SpA,033178260,FPA
Valsartan,VALSARTAN 40MG 14 UNITA' USO ORALE,RIXIL*14 cpr riv div 40 mg,SANDOZ SpA,034776207,FPA
Valsartan,VALSARTAN 40MG 14 UNITA' USO ORALE,VALSARTAN*14 cpr riv 40 mg,DOC GENERICI Srl,039815028,FPA
Valsartan,VALSARTAN 40MG 14 UNITA' USO ORALE,VALSARTAN*14 cpr riv 40 mg,SANDOZ SpA,040318014,FPA
Valsartan,VALSARTAN 40MG 14 UNITA' USO ORALE,VALSARTAN*14 cpr riv 40 mg,SUN PHARMACEUTICAL IND.EU.B.V.,040617019,FPA
Valsartan,VALSARTAN 40MG 14 UNITA' USO ORALE,VALSARTAN*14 cpr riv 40 mg,ZENTIVA ITALIA Srl,040723013,FPA
Valsartan,VALSARTAN 40MG 14 UNITA' USO ORALE,VALSARTAN*14 cpr riv 40 mg,EG SpA,040782346,FPA
Valsartan,VALSARTAN 40MG 14 UNITA' USO ORALE,VALSARTAN*14 cpr riv 40 mg,ALMUS Srl,041076011,FPA
Valsartan,VALSARTAN 40MG 14 UNITA' USO ORALE,VALSARTAN*14 cpr riv 40 mg,HCS BVBA,041104023,FPA
Valsartan,VALSARTAN 40MG 14 UNITA' USO ORALE,VALSARTAN*14 cpr riv 40 mg,MYLAN SpA,041442031,FPA
Valsartan,VALSARTAN 40MG 14 UNITA' USO ORALE,VALSARTAN*14 cpr riv 40 mg,TOWA PHARMACEUTICAL SpA,041849023,FPA
Valsartan,VALSARTAN 80MG 28 UNITA' USO ORALE,VALPRESSION*28 cps 80 mg,A.MENARINI IND.FARM.RIUN.Srl,033119013,FPB
Valsartan,VALSARTAN 80MG 28 UNITA' USO ORALE,TAREG*28 cpr riv 80 mg,NOVARTIS FARMA SpA,033178892,FPB
Valsartan,VALSARTAN 80MG 28 UNITA' USO ORALE,RIXIL*28 cpr riv 80 mg,SANDOZ SpA,034776827,FPB
Valsartan,VALSARTAN 80MG 28 UNITA' USO ORALE,VALSARTAN*28 cpr riv 80 mg,LABORATORI ALTER Srl,039810041,FPB
Valsartan,VALSARTAN 80MG 28 UNITA' USO ORALE,VALSARTAN*28 cpr riv 80 mg,DOC GENERICI Srl,039815156,FPB
Valsartan,VALSARTAN 80MG 28 UNITA' USO ORALE,VALSARTAN*28 cps 80 mg,MYLAN SpA,040225043,FPB
Valsartan,VALSARTAN 80MG 28 UNITA' USO ORALE,VALSARTAN*28 cpr riv 80 mg,SANDOZ SpA,040318065,FPB
Valsartan,VALSARTAN 80MG 28 UNITA' USO ORALE,VALSARTAN*28 cpr riv 80 mg,SUN PHARMACEUTICAL IND.EU.B.V.,040617084,FPB
Valsartan,VALSARTAN 80MG 28 UNITA' USO ORALE,VALSARTAN*28 cpr riv 80 mg,ZENTIVA ITALIA Srl,040723076,FPB
