Principio Attivo,Descrizione Gruppo,Denominazione e Confezione,Titolare AIC,AIC,Codice Gruppo Equivalenza
Vildagliptin,VILDAGLIPTIN 50MG 56 UNITA' USO ORALE,VILDAGLIPTIN*56 cpr 50 mg,TEVA B.V.,045976065,TBA
Vildagliptin,VILDAGLIPTIN 50MG 56 UNITA' USO ORALE,VILDAGLIPTIN*56 cpr 50 mg,AUROBINDO PHARMA ITALIA Srl,047317021,TBA
Vildagliptin,VILDAGLIPTIN 50MG 56 UNITA' USO ORALE,VILDAGLIPTIN*56 cpr 50 mg,ACCORD HEALTHCARE SLU,047877042,TBA
Vildagliptin,VILDAGLIPTIN 50MG 56 UNITA' USO ORALE,VILDAGLIPTIN*56 cpr 50 mg,EG SpA,047916135,TBA
Vildagliptin,VILDAGLIPTIN 50MG 56 UNITA' USO ORALE,VILDAGLIPTIN*56 cpr 50 mg,MYLAN SpA,048318051,TBA
Vildagliptin,VILDAGLIPTIN 50MG 56 UNITA' USO ORALE,VILDAGLIPTIN*56 cpr 50 mg,DOC GENERICI Srl,048636029,TBA
Vildagliptin,VILDAGLIPTIN 50MG 56 UNITA' USO ORALE,VILDAGLIPTIN*56 cpr 50 mg,TOWA PHARMACEUTICAL SpA,048948032,TBA
Vildagliptin/metformina,VILDAGLIPTIN+METFORMINA 50+1.000MG 60 UNITA' USO ORALE,EUCREAS*60 cpr riv 50 mg + 1.000 mg,NOVARTIS EUROPHARM LTD,038252096,TCA
Vildagliptin/metformina,VILDAGLIPTIN+METFORMINA 50+1.000MG 60 UNITA' USO ORALE,VILDAGLIPTIN E METFORMINA*60 cpr riv 50 mg + 1.000 mg,SANDOZ SpA,045374194,TCA
Vildagliptin/metformina,VILDAGLIPTIN+METFORMINA 50+1.000MG 60 UNITA' USO ORALE,VILDAGLIPTIN E METFORMINA*2x30 cpr riv 50 mg + 1.000 mg,TEVA B.V.,045714146,TCA
Vildagliptin/metformina,VILDAGLIPTIN+METFORMINA 50+1.000MG 60 UNITA' USO ORALE,VILDAGLIPTIN E METFORMINA*60 cpr riv 50 mg + 1.000 mg,KRKA D.D.NOVO MESTO,048311082,TCA
Vildagliptin/metformina,VILDAGLIPTIN+METFORMINA 50+1.000MG 60 UNITA' USO ORALE,VILDAGLIPTIN E METFORMINA*60 cpr riv 50 mg + 1.000 mg,DOC GENERICI Srl,048496020,TCA
Vildagliptin/metformina,VILDAGLIPTIN+METFORMINA 50+1.000MG 60 UNITA' USO ORALE,VILDAGLIPTIN E METFORMINA*60 cpr riv 50 mg + 1.000 mg,TOWA PHARMACEUTICAL SpA,048949046,TCA
Vildagliptin/metformina,VILDAGLIPTIN+METFORMINA 50+1.000MG 60 UNITA' USO ORALE,VILDAGLIPTIN E METFORMINA*60 cpr riv 50 mg + 1.000 mg,AUROBINDO PHARMA ITALIA Srl,049236033,TCA
Vildagliptin/metformina,VILDAGLIPTIN+METFORMINA 50+1.000MG 60 UNITA' USO ORALE,VILDAGLIPTIN E METFORMINA*60x1 cpr riv 50 mg + 1.000 mg,EG SpA,049662188,TCA
Vildagliptin/metformina,VILDAGLIPTIN+METFORMINA 50+1.000MG 60 UNITA' USO ORALE,VILDAGLIPTIN E METFORMINA*60 cpr riv 50 mg + 1.000 mg,ZENTIVA ITALIA Srl,049764246,TCA
Vildagliptin/metformina,VILDAGLIPTIN+METFORMINA 50+1.000MG 60 UNITA' USO ORALE,VILDAGLIPTIN METFORMINA CLORIDRATO*60 cpr riv 50 mg + 1.000 mg,ACCORD HEALTHCARE SLU,050033048,TCA
Vildagliptin/metformina,VILDAGLIPTIN+METFORMINA 50+850MG 60 UNITA' USO ORALE,EUCREAS*60 cpr riv 50 mg + 850 mg,NOVARTIS EUROPHARM LTD,038252033,TCB
Vildagliptin/metformina,VILDAGLIPTIN+METFORMINA 50+850MG 60 UNITA' USO ORALE,VILDAGLIPTIN E METFORMINA*60 cpr riv 50 mg + 850 mg,SANDOZ SpA,045374055,TCB
Vildagliptin/metformina,VILDAGLIPTIN+METFORMINA 50+850MG 60 UNITA' USO ORALE,VILDAGLIPTIN E METFORMINA*2x30 cpr riv 50 mg + 850 mg,TEVA B.V.,045714134,TCB
Vildagliptin/metformina,VILDAGLIPTIN+METFORMINA 50+850MG 60 UNITA' USO ORALE,VILDAGLIPTIN E METFORMINA*60 cpr riv 50 mg + 850 mg,KRKA D.D.NOVO MESTO,048311031,TCB
Vildagliptin/metformina,VILDAGLIPTIN+METFORMINA 50+850MG 60 UNITA' USO ORALE,VILDAGLIPTIN E METFORMINA*60 cpr riv 50 mg + 850 mg,DOC GENERICI Srl,048496018,TCB
Vildagliptin/metformina,VILDAGLIPTIN+METFORMINA 50+850MG 60 UNITA' USO ORALE,VILDAGLIPTIN E METFORMINA*60 cpr riv 50 mg + 850 mg,TOWA PHARMACEUTICAL SpA,048949022,TCB
Vildagliptin/metformina,VILDAGLIPTIN+METFORMINA 50+850MG 60 UNITA' USO ORALE,VILDAGLIPTIN E METFORMINA*60 cpr riv 50 mg + 850 mg,AUROBINDO PHARMA ITALIA Srl,049236021,TCB
Vildagliptin/metformina,VILDAGLIPTIN+METFORMINA 50+850MG 60 UNITA' USO ORALE,VILDAGLIPTIN E METFORMINA*60x1 cpr riv 50 mg + 850 mg,EG SpA,049662087,TCB
Vildagliptin/metformina,VILDAGLIPTIN+METFORMINA 50+850MG 60 UNITA' USO ORALE,VILDAGLIPTIN E METFORMINA*60 cpr riv 50 mg + 850 mg,ZENTIVA ITALIA Srl,049764107,TCB
Vildagliptin/metformina,VILDAGLIPTIN+METFORMINA 50+850MG 60 UNITA' USO ORALE,VILDAGLIPTIN METFORMINA CLORIDRATO*60 cpr riv 50 mg + 850 mg,ACCORD HEALTHCARE SLU,050033024,TCB
Vinorelbina,VINORELBINA 20MG 1 UNITA' USO ORALE,NAVELBINE*1 cps molli 20 mg,PIERRE FABRE PHARMA Srl,027865106,BSR
Vinorelbina,VINORELBINA 20MG 1 UNITA' USO ORALE,VINORELBINA*1 cps molle 20 mg,DOC GENERICI Srl,046717017,BSR
Vinorelbina,VINORELBINA 20MG 1 UNITA' USO ORALE,VINORELBINA*1 cps molle 20 mg,MEDAC GMBH,049928017,BSR
Vinorelbina,VINORELBINA 30MG 1 UNITA' USO ORALE,NAVELBINE*1 cps molli 30 mg,PIERRE FABRE PHARMA Srl,027865118,BSS
Vinorelbina,VINORELBINA 30MG 1 UNITA' USO ORALE,VINORELBINA*1 cps molle 30 mg,DOC GENERICI Srl,046717031,BSS
Vinorelbina,VINORELBINA 30MG 1 UNITA' USO ORALE,VINORELBINA*1 cps molle 30 mg,MEDAC GMBH,049928031,BSS
Voclosporina,"VOCLOSPORINA 7,9MG 180 UNITA' USO ORALE","LUPKYNIS*180 cps molli 7,9 mg",OTSUKA PHARMACEUT.NETHER.BV,050355015,MMO
Voriconazolo,VORICONAZOLO 50MG 28 UNITA' USO ORALE,VFEND*28 cpr riv 50 mg,PFIZER EUROPE MA EEIG,035628320,BST
Voriconazolo,VORICONAZOLO 50MG 28 UNITA' USO ORALE,VORICONAZOLO*28 cpr riv 50 mg,MYLAN SpA,042626022,BST
Voriconazolo,VORICONAZOLO 50MG 28 UNITA' USO ORALE,VORICONAZOLO*28x1 cpr riv 50 mg,TEVA ITALIA Srl,042796159,BST
Voriconazolo,VORICONAZOLO 50MG 28 UNITA' USO ORALE,VORICONAZOLO*28x1 cpr riv 50 mg,ACCORD HEALTHCARE SLU,042809210,BST
Voriconazolo,VORICONAZOLO 50MG 28 UNITA' USO ORALE,VORICONAZOLO*28 cpr 50 mg,ARISTO PHARMA GMBH,044083018,BST
Voriconazolo,VORICONAZOLO 200MG 28 UNITA' USO ORALE,VFEND*28 cpr riv 200 mg,PFIZER EUROPE MA EEIG,035628419,BSU
Voriconazolo,VORICONAZOLO 200MG 28 UNITA' USO ORALE,VORICONAZOLO*28 cpr riv 200 mg,MYLAN SpA,042626147,BSU
Voriconazolo,VORICONAZOLO 200MG 28 UNITA' USO ORALE,VORICONAZOLO*28 cpr riv 200 mg,SANDOZ SpA,042789228,BSU
Voriconazolo,VORICONAZOLO 200MG 28 UNITA' USO ORALE,VORICONAZOLO*28x1 cpr riv 200 mg,TEVA ITALIA Srl,042796387,BSU
Voriconazolo,VORICONAZOLO 200MG 28 UNITA' USO ORALE,VORICONAZOLO*28x1 cpr riv 200 mg,ACCORD HEALTHCARE SLU,042809273,BSU
Voriconazolo,VORICONAZOLO 200MG 28 UNITA' USO ORALE,VORICONAZOLO*28 cpr riv 200 mg,AUROBINDO PHARMA ITALIA Srl,043930027,BSU
Voriconazolo,VORICONAZOLO 200MG 28 UNITA' USO ORALE,VORICONAZOLO*28 cpr 200 mg,ARISTO PHARMA GMBH,044083032,BSU
Voriconazolo,VORICONAZOLO 40MG/ML 45G USO ORALE,VFEND*orale soluz 45 g 40 mg/ml,PFIZER EUROPE MA EEIG,035628268,BSV
Vortioxetina,VORTIOXETINA 5MG 28 UNITA' USO ORALE,BRINTELLIX*28 cpr riv 5 mg,H.LUNDBECK A/S,043187020,HZD
Vortioxetina,VORTIOXETINA 10MG 28 UNITA' USO ORALE,BRINTELLIX*28 cpr riv 10 mg,H.LUNDBECK A/S,043187107,HZE
Vortioxetina,VORTIOXETINA 20MG/ML 15ML USO ORALE,BRINTELLIX*orale gtt 15 ml 20 mg/ml,H.LUNDBECK A/S,043187362,HZF
Warfarin,WARFARIN 5MG 30 UNITA' USO ORALE,COUMADIN*30 cpr div 5 mg,TEOFARMA Srl,016366027,TDA
Zinco acetato,ZINCO ACETATO 25MG 250 UNITA' USO ORALE,WILZIN*250 cps 25 mg flacone,RECORDATI RARE DISEASES SARL,036694014,BSX
